Date,Target,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal
2023-10-24,1,0.011176078,0.011463598,37.61715262,38.4147644,-37.31299982,-32.1317994
2023-10-25,0,-0.00857029,0.011479945,35.11572266,43.20679562,-39.16832241,-33.539104
2023-10-26,0,-0.027494828,0.012279776,37.97141811,36.06250928,-45.2881402,-35.88891124
2023-10-27,1,0.001621065,0.012350847,38.77214704,35.82290592,-49.26921678,-38.56497235
2023-10-30,1,0.003355471,0.012465912,37.31570871,37.73424052,-51.2093862,-41.09385512
2023-10-31,0,-0.014192142,0.012505968,36.42285156,26.11254686,-54.74326279,-43.82373665
2023-11-01,1,0.010293708,0.012867903,36.73856027,24.8248973,-55.00788131,-46.06056558
2023-11-02,1,0.017896245,0.012716745,38.40712193,34.80497248,-51.27300076,-47.10305262
2023-11-03,1,0.0107059,0.012998507,37.94498117,41.00044267,-45.75065507,-46.83257311
2023-11-06,1,0.055049005,0.018026737,45.33068848,54.32964322,-30.21080179,-43.50821884
2023-11-07,0,-0.023618671,0.018895496,50.26497977,48.28460889,-22.35092006,-39.27675909
2023-11-08,0,-0.009182872,0.018485494,50.28212193,50.5608514,-17.72027753,-34.96546278
2023-11-09,1,0.002252135,0.01826094,48.35853795,55.38551415,-13.45478831,-30.66332788
2023-11-10,0,-0.007203299,0.018210069,49.24068778,55.44971325,-11.34919276,-26.80050086
2023-11-13,0,-0.00245144,0.018136239,47.72712054,52.18980415,-10.04082159,-23.44856501
2023-11-14,1,0.01219363,0.018217454,48.54141671,57.43129403,-6.548841289,-20.06862026
2023-11-15,1,0.021716622,0.018886916,47.83285086,70.35258804,0.523089653,-15.95027828
2023-11-16,1,0.000607057,0.018311588,47.15427944,70.20908158,6.178271771,-11.52456827
2023-11-17,0,-0.007394032,0.01792149,47.09570313,66.97498602,9.076353378,-7.404383939
2023-11-20,1,0.008607043,0.017832778,46.18355887,73.27570032,12.94661813,-3.334183526
2023-11-21,1,0.007685536,0.017763106,45.63928223,73.01944365,17.36455406,0.805563991
2023-11-22,1,0.000509757,0.017577819,43.92072405,70.39043753,20.73012382,4.790475958
2023-11-23,1,0.001297088,0.016058084,43.04500907,68.72924145,23.39078326,8.510537418
2023-11-24,0,-0.007315108,0.016265025,35.25216239,48.9590454,23.74655541,11.55774102
2023-11-27,0,-0.000388588,0.016294844,30.86359515,61.84260122,23.67730168,13.98165315
2023-11-28,1,0.010403886,0.015781296,29.18502372,72.54998763,25.43527533,16.27237758
2023-11-29,0,-0.000773549,0.015783009,29.01932199,71.21678297,26.36719276,18.29134062
2023-11-30,1,0.006124519,0.015474797,28.59430804,79.00188356,28.03171691,20.23941588
2023-12-01,0,-0.012015314,0.015782994,28.23359026,71.00886311,26.6008806,21.51170882
2023-12-04,1,0.003960173,0.009932317,26.94857352,68.44911708,25.96964085,22.40329523
2023-12-05,0,-0.008252781,0.008476356,24.67928641,52.01678073,23.53024682,22.62868555
2023-12-06,1,0.000440853,0.008132936,24.40070452,51.91224091,21.43862731,22.3906739
2023-12-07,0,-0.001327257,0.008154872,23.98214286,56.41307856,19.29154846,21.77084881
2023-12-08,1,0.010291684,0.008130625,23.5392892,57.49991412,19.44604401,21.30588785
2023-12-11,1,0.002978268,0.0080576,22.81785366,54.50114818,19.9445693,21.03362414
2023-12-12,1,0.003916479,0.007737977,22.20427595,56.75013529,20.89839755,21.00657882
2023-12-13,0,-0.009754516,0.006652764,22.95286342,48.90271117,19.44434106,20.69413127
2023-12-14,1,0.013262739,0.007241324,23.95713588,61.26086539,20.75749675,20.70680437
2023-12-15,1,0.00758857,0.007088325,24.51855469,64.79049559,23.09576279,21.18459605
2023-12-18,1,0.001286464,0.006908418,23.82496861,60.90745696,24.9277898,21.9332348
2023-12-19,1,0.000658152,0.006754024,23.18211147,61.8026086,26.21387136,22.78936211
2023-12-20,1,0.017654838,0.007692129,24.56352888,66.68639731,30.57232418,24.34595453
2023-12-21,0,-0.005477249,0.007871847,24.27139718,71.51984481,32.49951624,25.97666687
2023-12-22,0,-0.000196175,0.00760079,24.35998535,70.00760196,33.59837514,27.50100852
2023-12-26,1,0.001184167,0.007582683,24.00927734,77.95387124,34.32212126,28.86523107
2023-12-27,1,0.004183182,0.00734799,24.58285086,79.01643277,35.36832991,30.16585084
2023-12-28,1,0.015859802,0.007958879,26.35642787,83.71963756,39.11783099,31.95624687
2024-01-02,1,0.005457209,0.007944793,26.67143903,82.92593901,42.76877769,34.11875303
2024-01-03,0,-0.02368827,0.009374032,29.96144322,64.33943677,40.15605756,35.32621394
2024-01-04,0,-0.007812419,0.009611176,30.64144461,58.73770559,36.0328571,35.46754257
2024-01-05,0,-0.003461676,0.009415301,30.23500279,62.01956014,31.67864082,34.70976222
2024-01-08,0,-0.00398765,0.009497008,29.25999233,54.5956685,27.08774534,33.18535884
2024-01-09,0,-0.002565804,0.00951995,30.21142578,49.52535455,22.65729114,31.0797453
2024-01-10,0,-0.007548215,0.009475578,31.01785714,45.2219779,17.39152378,28.342101
2024-01-11,0,-0.000672915,0.009460009,31.26714216,44.5694724,12.93132142,25.25994508
2024-01-12,0,-0.006009498,0.009520161,29.78430176,30.58517249,8.075366685,21.8230294
2024-01-15,1,0.000372177,0.009250851,29.29000419,32.90378598,4.253797854,18.30918309
2024-01-16,0,-0.011306759,0.009069041,30.21857561,29.14894382,-1.054304385,14.4364856
2024-01-17,0,-0.025010044,0.010303898,33.86713518,22.49427739,-10.12221348,9.524745781
2024-01-18,1,0.001698191,0.010312383,33.96927316,20.72309214,-16.78108049,4.263580527
2024-01-19,1,0.013312395,0.010890502,33.64069475,18.21633589,-19.19836104,-0.428807786
2024-01-22,0,-0.003398723,0.009870526,33.09924316,13.44389249,-21.54273625,-4.651593479
2024-01-23,1,0.005769842,0.010038135,29.96353585,22.35588646,-21.99644555,-8.120563893
