Date,Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2022-08-31,1,436246626,9.56259E+12,0.296210402,7.45339E+11,-1.86068E+11,-20305169083,-18234584225
2022-09-01,0,580021246,8.45232E+12,0.329571878,-2.9114E+11,-5.65199E+11,-71131991959,-18034671291
2022-09-02,0,391598680,7.21462E+12,-0.324854593,-1.75994E+11,-1.97431E+11,-10239745651,27558265893
2022-09-05,0,354737977,6.27783E+12,-0.094128772,-67550128641,1.60381E+11,28167728414,3996721745
2022-09-06,1,294224141,5.47624E+12,-0.170587419,-78482414798,-27939204098,23465046705,-10956486640
2022-09-07,0,378200299,7.53089E+12,0.285415594,-4.94009E+11,-41911048197,-56924335040,22923408763
2022-09-08,1,423620804,9.20874E+12,0.120096428,-3.85718E+11,2.12285E+11,24271563946,-58244346125
2022-09-13,1,367102506,9.16515E+12,-0.133417192,4.00469E+11,6.44199E+11,-9732341937,30275335077
2022-09-14,0,461507522,7.62551E+12,0.257162548,-1.64531E+11,-3.03693E+11,-5928538301,1.4277E+11
2022-09-15,0,424110958,7.43276E+12,-0.081031321,-2.24332E+11,-2.03297E+11,7863233440,29413081627
2022-09-16,0,440798650,8.69046E+12,0.039347467,-47269540645,-2.28562E+11,-43899541431,-16384520191
2022-09-19,0,403937473,6.88592E+12,-0.083623616,-547302731,67009406531,-20268878648,-28187350845
2022-09-20,1,419340243,7.01324E+12,0.03813157,-59107429418,2.6041E+11,14138155360,32144720867
2022-09-21,0,378165438,6.26907E+12,-0.098189491,-2.75056E+11,-17479083297,8895534599,-42554475720
2022-09-22,0,446820270,7.41327E+12,0.181547083,-59357990722,-2.40214E+11,-8196337189,-12680936834
2022-09-23,0,446460548,7.4168E+12,-0.000805071,-1.94387E+11,-15439410305,-76910554100,-38668765979
2022-09-26,0,621995319,9.46182E+12,0.393169725,-3434711580,6.0425E+11,-88480636096,-1.01227E+11
