Date,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2022-01-12,519500914,10895354474281,-0.0824325319700564,457931826345,595325449991,16117795421,32324289076
2022-01-13,604870641,11458978734387,0.16433027295886538,373496060508,-178734668142,9206682486,-174713235080
2022-01-14,532668250,10799738387436,-0.11936831796073233,-245690698361,-496535813545,-34253202934,-14422584741
2022-01-17,593260741,10396512579668,0.11375277388881355,-252669002554,29283981316,-79451024468,-75722148548
2022-01-18,554040958,10040965253936,-0.06610884605964518,13357344547,-33213666899,-58749434050,-38083270563
2022-01-19,463829499,9649066534496,-0.16282453074525227,34395105443,153995346252,-27438992917,-119236996865
2022-01-20,395669124,8872018415152,-0.14695135852064467,-278365055282,290694613521,-19913942285,-102047818141
2022-01-21,532753367,10718107702468,0.3464618154031145,-222523979690,-195530412748,-47071495291,-198122074646
2022-01-24,473993186,9304491107906,-0.1102952785280098,-435676904593,781067396543,-14408558587,-55525174994
2022-01-25,639958796,11700945453437,0.35014345121830504,-441054307565,-24174190770,-7241273158,-145758734200
2022-01-26,472650641,8978726558031,-0.26143582375262797,-242517358356,257821659786,-23358422092,-160363069229
2022-01-27,487726708,20548835072170,0.03189685084971661,-1714190516763,103258119917,200338056298,1223072786568
2022-01-28,434186972,13753057379762,-0.10977404993781892,-706679771842,54909638756,92740256495,70663000432
2022-02-03,435709933,12472536011223,0.0035076156085125376,83879394550,-109170726819,40325620859,133617014452
2022-02-04,536148768,11393256143290,0.23051766185004552,194499581665,-139629744324,64397907539,181831395206
2022-02-07,417838468,11291947751742,-0.220666925042715,-6922551900,-751670257353,23468378092,-77974659508
2022-02-08,560534109,11785877200608,0.34150910442262106,-93899152343,64756906579,-15612444050,24136411675
2022-02-09,539123929,10337571131580,-0.038196034204227125,235534907513,195991064945,-14948760224,14708496962
2022-02-10,509611246,12776154092019,-0.054741927435389304,836537884237,-432229062404,-82978741218,-6785666970
2022-02-11,480520356,10992603318314,-0.05708447415228357,608078206414,-382430082849,-8117221504,-256540910457
2022-02-14,616343422,11579386551903,0.28265829803888676,68413753630,40712970536,-34969741950,174300862869
2022-02-15,589039193,9435833780019,-0.044300349489249546,-220897923389,150713966229,-1497511295,-16698015189
2022-02-16,422366402,8389883428213,-0.2829570476475918,-43736822981,241758463019,33292796126,-73387945
2022-02-17,611421577,11812904600162,0.4476094076251833,651482556155,106246431488,196351209504,57924021026
2022-02-18,513521173,8508342024254,-0.1601193148602278,-150679374990,50821320773,4237746398,46983639959
2022-02-21,495301161,7896733628442,-0.035480546777766464,-64893738307,-120560198403,4446137403,-3088714968
2022-02-22,648400532,10590490331638,0.3091035980834296,-330430394449,-247967078248,-9056908471,-79212746303
2022-02-23,537841009,9138533730564,-0.17051115405315553,-266792126670,180822311274,-16944487610,27437427144
2022-02-24,926399613,13586138013425,0.7224413860193395,-674201930866,-308816035026,-10002877715,-105831100020
2022-02-25,664347310,12221012186710,-0.28287177512022554,-124180102105,270657432245,-12954380257,-71273021361
2022-02-28,613470298,12894247765178,-0.07658194928191997,96475605521,-276732779880,-14472234195,-24186352150
2022-03-02,527950387,10996672546245,-0.13940350703009907,-307375772823,-128905229660,-11113489918,441986105
2022-03-03,614514855,10592861510194,0.16396326270710726,132683193535,135704305718,3437176906,48247280612
2022-03-04,765675798,12427423966429,0.24598419675306293,-589042923097,-321650703144,-52215422773,-86326785181
2022-03-07,571562292,12089299502161,-0.25351918724222233,-1190747396147,-630788040830,-70355650626,-143030830376
2022-03-08,540370226,11679452446651,-0.0545733447370248,-477359344196,-148483837735,-36589533158,-38860446130
2022-03-10,613810463,13694703490818,0.13590726036782041,-427766701209,738399274273,36204311610,-57218430427
2022-03-11,797034211,12363206013444,0.29850215831201954,-689442736381,-289524569197,10413002985,-95110810460
2022-03-14,636324491,12037826871926,-0.20163465731083907,-639141224631,-16641412285,-35560509712,81648855559
2022-03-15,604181621,9583002317208,-0.0505133315700087,-679033381195,-23833846539,-9864829314,106018559912
2022-03-16,736353564,9310850792342,0.2187619391355169,-131871761121,273765018986,-1964919376,55278748888
