Target,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1
1,-0.0600000000000005,-0.0180000000000002,0.01,-0.008000135
1,0.1100000000000003,-0.0399999999999995,0.04,0.019000291
1,-0.0600000000000005,0.0479999999999996,0.0099999999999998,0.042999745
1,-0.0099999999999997,0.0460000000000002,0.02,-0.013000015
0,0.0600000000000005,-0.0340000000000002,0.02,0.0
0,-0.0300000000000002,0.0300000000000002,0.06,0.0360000199999999
0,0.04,0.0369999999999999,0.08,0.03100013
0,-0.1299999999999999,0.024,-0.02,-0.00900006
0,-0.0099999999999997,-0.0489999999999999,0.05,-0.01300001
1,-0.08,-0.0420000000000002,0.0099999999999999,-0.0320000649999999
0,0.0499999999999998,0.0250000000000003,-0.0699999999999999,0.0090000649999999
0,0.0599999999999996,0.0149999999999996,0.0299999999999999,-0.0030000199999999
0,0.0899999999999998,0.0110000000000001,-0.02,0.02699995
0,0.08,0.0489999999999999,-0.0499999999999999,0.01600003
0,0.04,-0.0349999999999997,0.0499999999999999,0.0130002499999999
0,-0.0099999999999997,0.0759999999999996,0.03,0.0329997499999999
1,-0.04,-0.0589999999999997,0.0,-0.0030000199999999
1,0.0700000000000002,0.0659999999999998,0.01,-0.0069999699999999
0,0.0499999999999998,0.0070000000000001,-0.0499999999999999,0.0060000499999999
1,-0.1100000000000003,-0.0310000000000001,-0.04,-0.03499985
0,0.0500000000000007,-0.012,-0.01,-0.0300002099999999
1,0.0299999999999993,0.0300000000000002,-0.0099999999999999,0.02699995
1,-0.0299999999999993,-0.0300000000000002,-0.02,-0.032999994
1,-0.1300000000000007,-0.0189999999999996,0.0499999999999999,-0.008999826
0,0.0100000000000006,-0.008,-0.01,0.0139996999999999
1,-0.0300000000000002,-0.0210000000000003,0.0,-0.0079996599999999
1,0.0300000000000002,-0.0219999999999997,0.06,-0.020999905
0,0.0,0.0489999999999999,0.0,0.028999805
0,0.08,0.0270000000000001,0.01,0.0029997799999999
0,0.08,0.0,-0.0499999999999999,0.00699997
0,-0.0700000000000002,0.0819999999999998,0.0399999999999999,-0.00599956
1,0.0199999999999995,-0.052,-0.0299999999999999,-0.022000315
0,-0.04,0.0700000000000002,0.07,-0.003999949
0,0.0200000000000004,-0.0020000000000002,-0.04,0.0060000439999999
1,-0.0200000000000004,-0.0099999999999997,0.0,-0.0060000439999999
1,0.04,-0.0170000000000003,0.0,-0.014999866
0,0.04,0.0140000000000002,0.0,-0.0030000199999999
0,0.0200000000000004,0.0409999999999999,-0.0299999999999999,0.0130000099999999
1,0.0499999999999998,-0.004,0.0,-0.0260002599999999
0,0.0300000000000002,0.0030000000000001,-0.0499999999999999,0.008000134
0,0.0299999999999993,0.04,0.1099999999999999,0.0280001159999999
0,-0.0499999999999998,-0.0540000000000002,0.0,0.02399993
0,0.0300000000000002,0.0,0.0799999999999999,0.01100016
1,0.0099999999999997,0.0150000000000001,0.0,0.0269997099999999
0,0.0499999999999998,-0.0070000000000001,0.0,-0.0169997199999999
0,-0.04,0.2239999999999997,0.16,0.09699988
1,-0.0299999999999993,-0.0269999999999992,0.0199999999999999,-0.0019998499999999
0,0.0499999999999998,-0.0660000000000007,0.01,-0.01600028
1,-0.1299999999999999,-0.0179999999999997,0.0099999999999999,-0.0030000199999999
1,-0.0099999999999997,-0.044,-0.0699999999999999,-0.03299975
0,0.0899999999999998,-0.0209999999999999,0.03,-0.0200002199999999
0,-0.0200000000000004,0.0249999999999999,-0.05,0.04300022
1,0.0700000000000002,0.016,0.01,0.0059998099999999
1,0.1399999999999996,0.0180000000000002,-0.0199999999999999,0.0150000999999999
0,0.0200000000000004,0.0399999999999995,0.06,0.0229999999999999
0,-0.0200000000000004,0.0390000000000005,0.09,0.03599978
0,-0.08,-0.0369999999999999,0.03,0.0020003299999999
