Close,Open,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,S&P500,USD_KRW,Dollar_Index,VIX,US_GDP,US_M2,US_Interest_Rate_3Y,US_UNRATE,KR_GDP,KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,US_Spread_10Y_3Y,KR_Spread_10Y_3Y
3285.340087890625,3303.590087890625,-0.0060116825501878,-0.0060298254632302,0.0044973949109994,22.857107979910715,55.77276027799869,22.81095905743632,25.448725786604136,1147641017,14507060037927,0.1147933207759988,-340497619729,-401209341494,-74941699657,-197577189715,4358.1298828125,1135.47998046875,92.63999938964844,16.200000762939453,23982.379,20633.3,0.41,5.4,524124400000000.0,2.039,1.41,0.9200000000000002,0.62900007
3252.679931640625,3287.679931640625,-0.0099411797184655,-0.0099909231926761,0.0051098835214452,25.008544921875,46.3023124754332,18.59121414836636,24.07722345895658,1516034403,16870624131454,0.3210005398404125,-498287807432,-221490035877,-33715394123,-280861818314,4320.81982421875,1140.52001953125,92.36000061035156,19.0,23982.379,20633.3,0.37,5.4,524124400000000.0,2.002,1.358,0.93,0.64400005
3217.949951171875,3245.52001953125,-0.0106773433595209,-0.0107347552266533,0.00539127861598,26.54497419084821,44.65854006680179,12.302797738927891,21.722338314950846,1308364633,16473105860696,-0.1369822278366858,-1342149136077,-432248519611,-4799192116,-26594298637,4369.5498046875,1146.280029296875,92.12999725341795,16.18000030517578,23982.379,20633.3,0.41,5.4,524124400000000.0,2.033,1.375,0.9600000000000002,0.658
3246.469970703125,3227.510009765625,0.008862791517582,0.0088237475038946,0.0057761635052506,27.020699637276785,46.02930842670165,9.51087421563352,19.280045495087386,1135042856,11280079226180,-0.1324720743960984,37207303791,137041608847,30242143340,49719136557,4384.6298828125,1144.31005859375,92.2300033569336,16.170000076293945,23982.379,20633.3,0.43,5.4,524124400000000.0,2.022,1.384,0.95,0.63800013
3271.3798828125,3253.239990234375,0.0076729223846725,0.0076436352323418,0.0060164022976413,27.636422293526785,48.96258961894572,9.20219921077387,17.26447623822468,1150101046,13494445819170,0.013266626824177,265170242335,269452323305,25426246024,44228803245,4369.2099609375,1141.0999755859375,92.75,17.1200008392334,23982.379,20633.3,0.47,5.4,524124400000000.0,2.035,1.424,0.95,0.61100006
3264.81005859375,3270.090087890625,-0.0020082731000661,-0.0020102923844576,0.0058670505482541,27.982840401785715,45.34113906062012,8.331402910760971,15.47786157273194,908953938,12993100764877,-0.2096747140946431,-274029668234,-196724273485,-11427150075,-51982527587,4374.2998046875,1148.699951171875,92.41000366210938,16.329999923706055,23982.379,20633.3,0.44,5.4,524124400000000.0,2.008,1.39,0.9300000000000002,0.6179999
3286.219970703125,3269.330078125,0.0065577818387991,0.0065363731322576,0.0059734295882806,27.519269670758927,46.43589362339297,9.26212355154712,14.234713968494976,1172430582,13683900975965,0.2898679822871288,100636263856,222169798027,34457350866,-24101485010,4360.02978515625,1143.4100341796875,92.62000274658205,17.010000228881836,23982.379,20633.3,0.43,5.4,524124400000000.0,2.024,1.497,0.8800000000000001,0.52699995
3276.909912109375,3282.889892578125,-0.0028330600741124,-0.0028370807845425,0.0060127385113734,27.984270368303573,44.82857963091753,9.143086632415816,13.216388501279145,1066507087,14781318750668,-0.0903452167029876,-92540524234,-353107977589,-80135660001,-24267140085,4327.16015625,1140.1199951171875,92.69000244140624,18.450000762939453,23982.379,20633.3,0.43,5.4,524124400000000.0,2.008,1.451,0.8800000000000001,0.5569999
3244.0400390625,3258.8701171875,-0.010030752730006,-0.0100813996996202,0.0061529603133985,28.822126116071427,41.77405969674049,6.323531234685561,11.83781704796043,1095559262,12855281198924,0.0272404894014548,-458190929018,-244214638725,-63155167134,-97038084973,4258.490234375,1141.5,92.88999938964844,22.5,23982.379,20633.3,0.38,5.4,524124400000000.0,1.972,1.459,0.8099999999999999,0.513
3232.699951171875,3223.239990234375,-0.0034956682883304,-0.0035017924128252,0.0059675545269713,29.577130998883927,37.72069407584004,3.1377924305488705,10.097812124478118,979670175,15292372447870,-0.1057807560208459,-172988943545,170253827459,1856527725,-15007940147,4323.06005859375,1150.0699462890625,92.97000122070312,19.729999542236328,23982.379,20633.3,0.37,5.4,524124400000000.0,1.893,1.41,0.86,0.48300004
