Date,y,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1
2023-06-21,0,-0.00176054,55.21823402,-0.0441379276545532,-0.0291858359457712,-2.289535739999998
2023-06-22,1,-0.008589878,51.37971848,0.0159518426848133,0.0315481059605842,-3.8480746
2023-06-23,0,0.004277195,56.04814195,0.0215354644556544,0.0009423587576256,-2.364892700000002
2023-06-26,1,-0.009140562,41.95157152,0.0016211085543038,0.0560783993981441,-3.9415970399999978
2023-06-27,0,0.004696883,41.36279706,0.0182302839858352,-0.0050807871678637,-2.2841483400000016
2023-06-28,0,-0.000313758,41.13125053,-0.0077119882186766,-0.0003759906944145,-1.9893977729999983
2023-06-29,0,-0.006685356,38.63717437,0.0321088077188931,-0.0394646975766139,-3.0432524690000005
2023-06-30,1,-0.005541406,25.91178752,-0.0182637961923002,0.0116250810187654,-3.5925294210000005
2023-07-03,1,0.005576539,33.02191957,0.0068068052476042,0.0169554897504804,-1.7140193299999995
2023-07-04,0,0.014783234,41.98082806,0.0689015501908696,0.0379042629697181,1.686221234
2023-07-05,0,-0.003525908,43.90807808,-0.0360633901539366,-0.0117003113523583,0.5538148860000001
2023-07-06,0,-0.005533348,43.13915168,-0.0242852981379546,0.0140516888607473,-0.750547241
2023-07-07,0,-0.008844723,34.2574794,0.0320242535381627,0.0344756514844233,-2.4340078160000003
2023-07-10,0,-0.011638958,32.31207216,0.0442883117128665,-0.0408093928568833,-4.273263964
2023-07-11,1,-0.002381424,32.11720838,0.0235317797923739,-0.0030893694010805,-3.785345078
2023-07-12,1,0.016442817,46.05037752,0.0426674366301331,0.1524808783623772,0.4531746980000006
2023-07-13,1,0.004761341,46.29470405,-0.004186059190983,-0.0005753531121861,1.410720563
2023-07-14,1,0.00639188,54.24244088,-0.0135184256658575,0.0156171543370886,2.486284812
2023-07-17,0,0.014204609,58.41242658,0.0351254093526463,0.0626572405459633,4.940748259
2023-07-18,0,-0.003544702,56.65689205,0.0076548305991228,-0.009923070009238,3.108415419
2023-07-19,1,-0.004354593,57.8487346,-0.0120949301491477,0.0061263180776265,1.471490792
2023-07-20,0,0.000237688,61.0633929,-0.009218507831131,-0.0299163856516484,1.1294763440000004
2023-07-21,1,-0.003075765,56.99769707,-0.0185930690490043,-0.0016835003320023,0.1602210799999994
2023-07-24,1,0.003658372,51.59722193,-0.0030288091847023,-0.0332059866236011,0.7982125680000003
2023-07-25,1,0.007166499,57.40475161,0.062928778283422,0.010499858227388,2.026060247
2023-07-26,0,0.003012328,62.41357922,0.0043238603711772,0.0010325337836967,2.1002238099999992
2023-07-27,1,-0.016868394,57.13326979,0.06997638367474,0.0956029681175927,-2.016129189999999
2023-07-28,1,0.00440708,66.425265,-0.0227934025149405,-0.0092929433862796,-0.7868927919999997
2023-07-31,1,0.001730583,68.78649813,0.0028864053132688,-0.0072556565915169,-0.3684619620000013
2023-08-01,1,0.009258021,66.24940711,-0.0248872673362123,-0.0459205463871015,1.539066034000001
2023-08-02,0,0.013016134,69.40701445,0.035209324584378,0.0456837170980906,3.832095620000001
2023-08-03,0,-0.019154447,54.63936679,0.0615331949223971,0.1142014702204194,-1.2028551000000007
2023-08-04,0,-0.004243735,45.34402791,-0.0062861706903203,-0.0193568050336505,-1.98131517
