Date,Target,US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1,VIX,S&P500__logdiff1,Nikkei225__logdiff1,TaiwanWeighted__logdiff1,USD_KRW__logdiff1,Dollar_Index__logdiff1,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1,Volume_ROC,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,Net_Purchase_Financial_Investment,Net_Purchase_Foreigner,Volume,Transaction_Value__logdiff1
2023-06-23,0,0.08,0.08,0.026,0.021,0,0.005000115,13.19999981,-0.005259086,-0.009283778,0,0.000652168,0.003130196,0.004277195,56.04814195,0.021535464,0.000942359,-2.3648927,-0.070592905,13416725259,1.40E+11,79027112090,-1.07E+11,613221379,-0.179708152
2023-06-26,1,-0.06,-0.05,0.016,0.017,-0.01,-0.000999927,12.90999985,0.003703931,-0.01463663,0,0.007600743,0.004968612,-0.009140562,41.95157152,0.001621109,0.056078399,-3.94159704,-0.138472062,-26957872725,-14954388654,-3.91E+11,-1.88E+11,528307350,-0.044604306
2023-06-27,0,-0.02,-0.02,-0.052,-0.041,0,-0.011000157,13.43999958,-0.007688288,-0.002526821,-0.008356926,0.007260599,-0.002042893,0.004696883,41.36279706,0.018230284,-0.005080787,-2.28414834,-0.088124536,-16122451726,-20915421468,2.76E+11,15003253159,481750510,-0.012948974
2023-06-28,0,0.05,0.08,-0.008,-0.03,-0.03,0.021999837,14.25,-0.004496934,-0.004919921,-0.010094594,-0.003838607,-0.001949552,-0.000313758,41.13125053,-0.007711988,-0.000375991,-1.989397773,0.117817694,10904615920,1.18E+11,-1.62E+11,-1.08E+11,538509244,0.017616427
2023-06-29,0,-0.06,-0.06,0.008,0.019,0,-0.01099968,13.73999977,0.011390734,0.019950002,0.002822325,-0.004662919,0.004089643,-0.006685356,38.63717437,0.032108808,-0.039464698,-3.043252469,-0.092368485,-8638474844,10069135500,87539481672,-3.92E+11,488767961,0.025288704
2023-06-30,1,0.14,0.17,0.015,0.027,-0.03,-0.012000323,13.43000031,-0.000354139,0.001208896,0.000393762,0.009525699,0.004169631,-0.005541406,25.91178752,-0.018263796,0.011625081,-3.592529421,0.236800851,16699257815,24163096986,-2.29E+11,55313840334,604508630,0.00113443
2023-07-03,1,-0.04,0,0.049,0.078,-0.04,-0.028999806,13.53999996,0.004463568,-0.001358007,-0.001580829,0.010683619,-0.004169631,0.005576539,33.02191957,0.006806805,0.01695549,-1.71401933,-0.154794885,10497416523,48310428301,1.90E+11,-1.78E+11,510933786,-0.071668947
2023-07-04,0,0.05,0.07,-0.068,-0.049,-0.02,-0.018999815,13.59000015,0.01219435,0.016859351,0.009921344,-0.005889939,0.00077702,0.014783234,41.98082806,0.06890155,0.037904263,1.686221234,0.209562174,64401304737,-2.18E+11,8.76E+11,-13324597690,618006181,0.088532753
2023-07-05,0,0,0,0.016,0.006,0,0.009999753,13.56999969,0.001169993,-0.009849114,0.003305795,-0.007019235,0,-0.003525908,43.90807808,-0.03606339,-0.011700311,0.553814886,0.091268348,-1532098821,-2.70E+11,-3805616772,-59437290111,674410584,0.020960503
2023-07-06,0,0.09,0.03,0.021,-0.001,0.06,0.022000074,13.56999969,0,-0.002511049,-0.004932568,-0.008148858,0.003682935,-0.005533348,43.13915168,-0.024285298,0.014051689,-0.750547241,-0.108719971,3462530865,-56753342379,-5.79E+11,2.56E+11,601088685,0.117297717
2023-07-07,0,0.1,0.09,0.069,0.058,0.01,0.010999917,14.18000031,-0.001970258,-0.017113259,-0.017402684,0.005749531,-0.001936715,-0.008844723,34.2574794,0.032024254,0.034475651,-2.434007816,-0.115105098,-54386264848,2.43E+11,-5.60E+11,-1.68E+11,531900313,0
2023-07-10,0,0.01,-0.04,0.048,0.059,0.05,-0.010999917,15.43999958,-0.007954061,-0.011804653,-0.005861195,0.004785266,-0.008761754,-0.011638958,32.31207216,0.044288312,-0.040809393,-4.273263964,0.152969889,-1.90E+11,16867127198,-3.51E+11,-45069398717,613265045,0.009661911
2023-07-11,1,-0.05,-0.1,0.102,0.06,0.05,0.041999817,14.82999992,-0.002869213,-0.006153477,-0.000684945,-0.009092383,-0.002937677,-0.002381424,32.11720838,0.02353178,-0.003089369,-3.785345078,-0.083885241,29933482880,15771050352,-1.72E+11,-1.56E+11,561821159,-0.069679921
2023-07-12,1,-0.02,-0.02,-0.105,-0.092,0,-0.01300001,15.06999969,0.002402139,0.000429853,0.014670715,0.001671251,-0.002356386,0.016442817,46.05037752,0.042667437,0.152480878,0.453174698,0.057516052,18476209359,69080511617,82297714481,2.69E+11,594134894,0.088728116
2023-07-13,1,-0.13,-0.16,-0.002,0.001,0.03,-0.002999784,14.84000015,0.006719584,-0.008095157,0.003728143,-0.006198302,-0.011965599,0.004761341,46.29470405,-0.004186059,-0.000575353,1.410720563,0.173006656,40968801970,29429726291,-74975559341,2.19E+11,696924185,0.219362828
2023-07-14,1,-0.1,-0.15,-0.099,-0.102,0.05,0.003000021,13.53999996,0.007383905,0.014772684,0.00584135,-0.013101266,-0.007489176,0.00639188,54.24244088,-0.013518426,0.015617154,2.486284812,-0.159649228,1.31E+11,-52237443665,3.49E+11,2.17E+11,585660777,0.007547206
2023-07-17,0,0.07,0.14,0.028,0.012,-0.07,0.015999793,13.60999966,0.008434483,-0.000866226,0.012945869,-0.006193136,0.001402314,0.014204609,58.41242658,0.035125409,0.062657241,4.940748259,-0.027056051,14593734525,50471717790,7.89E+11,6.15E+11,569815109,0.072495502
2023-07-18,0,-0.02,-0.01,-0.025,-0.003,-0.01,-0.021999835,13.34000015,-0.001024932,0,0.002922073,0.00119125,-0.000700949,-0.003544702,56.65689205,0.007654831,-0.00992307,3.108415419,-0.033774371,-58337179548,-1.32E+11,5687841480,-1.65E+11,550569962,-0.200670695
2023-07-19,1,-0.01,0.01,-0.009,-0.015,-0.02,0.006000042,13.47999954,0.00384797,0.003163465,-0.006155814,-0.002281181,0.001001162,-0.004354593,57.8487346,-0.01209493,0.006126318,1.471490792,-0.104197068,-27827559934,-2606983094,-2.53E+11,-1.55E+11,493202186,0.025317808
2023-07-20,0,-0.05,-0.01,-0.076,-0.053,-0.04,-0.023000002,13.30000019,0.007092067,0.012299929,-0.006491379,-0.000403108,0.003396231,0.000237688,61.0633929,-0.009218508,-0.029916386,1.129476344,-0.107721209,-31643799987,48754019427,-2.12E+11,-40280153577,440073850,-0.068992871
2023-07-21,1,0.1,0.09,0.031,0.038,0.01,-0.007000208,13.76000023,0.002355135,-0.01240368,0.002826682,0.000118595,0.005965404,-0.003075765,56.99769707,-0.018593069,-0.0016835,0.16022108,-0.153858585,-19656863803,44302897232,-2.71E+11,1.63E+11,372364710,-0.167784871
2023-07-24,1,-0.01,0.01,0.03,0.021,-0.02,0.009000063,13.98999977,-0.006779827,-0.005749539,-0.007848503,0.010466076,0.001881678,0.003658372,51.59722193,-0.003028809,-0.033205987,0.798212568,0.347796807,-7849825643,-7713771300,17545949523,-2.90E+11,501871967,0.261470355
2023-07-25,1,0.02,0.04,0.004,0.015,-0.02,-0.010999918,13.60000038,0.000324042,0.012205006,0.000170863,0.005655131,0.002766515,0.007166499,57.40475161,0.062928778,0.010499858,2.026060247,0.054777519,1892885189,-37238109281,-2.23E+11,-1.71E+11,529363268,0.440089073
2023-07-26,0,0.05,0.05,0.044,0.028,0,0.016000032,13.90999985,0.004026039,-0.000563741,0.009656469,-0.003990368,0,0.003012328,62.41357922,0.00432386,0.001032534,2.10022381,0.366682565,-99706387904,-39124282022,43905183219,-1.35E+12,723471549,0.005221944
2023-07-27,1,-0.05,-0.06,-0.026,-0.018,0.01,-0.008000135,13.85999966,0.00281072,-0.000433657,-0.002115154,-0.005018337,-0.00454905,-0.016868394,57.13326979,0.069976384,0.095602968,-2.01612919,0.15292233,-1.32E+11,-18026845243,2.48E+11,-9.47E+11,834106504,0.636907462
2023-07-28,1,0.15,0.11,-0.021,-0.04,0.04,0.019000291,13.18999958,-0.000155451,0.006797525,0.004608116,0.000823797,0.008684523,0.00440708,66.425265,-0.022793403,-0.009292943,-0.786892792,-0.287665707,-38620439415,-68439674010,4.93E+11,82278490784,594162667,-0.409605901
2023-07-31,1,-0.05,-0.06,0.091,0.048,0.01,0.042999745,14.40999985,-0.006445393,-0.004019165,0.002959883,0.006807209,-0.001474939,0.001730583,68.78649813,0.002886405,-0.007255657,-0.368461962,-0.152980613,-31609777270,-84250387368,-2.83E+11,60211856009,503267298,-0.360832954
