Target,US_GDP,US_M2,US_Interest_Rate_10Y,US_Interest_Rate_3Y,US_UNRATE,KR_GDP,KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,US_Spread_10Y_3Y,KR_Spread_10Y_3Y,S&P500,TaiwanWeighted,USD_KRW,Dollar_Index,VIX,Close,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
1,23982.379,20477.1,1.5,0.47,5.9,524124000000000.0,2.041,1.338,1.03,0.70299983,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.49,0.48,5.9,524124000000000.0,2.06,1.384,1.01,0.676,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.54,0.48,5.9,524124000000000.0,2.1,1.441,1.06,0.6589999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.49,0.47,5.9,524124000000000.0,2.137,1.47,1.02,0.66700006,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.49,0.47,5.9,524124000000000.0,2.109,1.459,1.02,0.65,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.45,0.46,5.9,524124000000000.0,2.092,1.448,0.99,0.64400005,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.48,0.47,5.4,524124000000000.0,2.09,1.469,1.01,0.62099993,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.44,0.45,5.4,524124000000000.0,2.101,1.484,0.99,0.6170001,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.44,0.45,5.4,524124000000000.0,2.089,1.462,0.99,0.627,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.37,0.42,5.4,524124000000000.0,2.119,1.465,0.95,0.6539999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.33,0.41,5.4,524124000000000.0,2.039,1.41,0.92,0.62900007,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.3,0.37,5.4,524124000000000.0,2.002,1.358,0.93,0.64400005,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.37,0.41,5.4,524124000000000.0,2.033,1.375,0.96,0.658,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.38,0.43,5.4,524124000000000.0,2.022,1.384,0.95,0.63800013,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.42,0.47,5.4,524124000000000.0,2.035,1.424,0.95,0.61100006,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.37,0.44,5.4,524124000000000.0,2.008,1.39,0.93,0.6179999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.31,0.43,5.4,524124000000000.0,2.024,1.497,0.88,0.52699995,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.31,0.43,5.4,524124000000000.0,2.008,1.451,0.88,0.5569999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.19,0.38,5.4,524124000000000.0,1.972,1.459,0.81,0.513,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.23,0.37,5.4,524124000000000.0,1.893,1.41,0.86,0.48300004,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.3,0.39,5.4,524124000000000.0,1.878,1.383,0.91,0.495,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.27,0.37,5.4,524124000000000.0,1.921,1.397,0.9,0.52400005,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.3,0.38,5.4,524124000000000.0,1.888,1.393,0.92,0.495,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.29,0.38,5.4,524124000000000.0,1.863,1.369,0.91,0.49400008,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.25,0.37,5.4,524124000000000.0,1.868,1.38,0.88,0.48800004,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.26,0.38,5.4,524124000000000.0,1.862,1.419,0.88,0.44299996,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20633.3,1.28,0.37,5.4,524124000000000.0,1.889,1.431,0.91,0.45800006,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20633.3,1.24,0.35,5.4,524124000000000.0,1.874,1.417,0.89,0.4569999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20840.7,1.2,0.33,5.1,524124000000000.0,1.907,1.435,0.87,0.472,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20840.7,1.19,0.33,5.1,524124000000000.0,1.89,1.442,0.86,0.44799995,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20840.7,1.19,0.34,5.1,524124000000000.0,1.866,1.418,0.85,0.44800007,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.23,0.38,5.1,524124000000000.0,1.878,1.414,0.85,0.464,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.31,0.42,5.1,524124000000000.0,1.9,1.433,0.89,0.467,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.33,0.43,5.1,524124000000000.0,1.914,1.436,0.9,0.47800004,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.36,0.47,5.1,524124000000000.0,1.916,1.432,0.89,0.48399997,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.35,0.45,5.1,524124000000000.0,1.934,1.419,0.9,0.515,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.36,0.46,5.1,524124000000000.0,1.922,1.413,0.9,0.50900006,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.29,0.44,5.1,524124000000000.0,1.924,1.407,0.85,0.5170001,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.26,0.43,5.1,524124000000000.0,1.886,1.402,0.83,0.4840001,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20840.7,1.27,0.43,5.1,524124000000000.0,1.881,1.389,0.84,0.49199998,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.24,0.44,5.1,524124000000000.0,1.868,1.36,0.8,0.508,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20840.7,1.26,0.44,5.1,524124000000000.0,1.853,1.364,0.82,0.48900008,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20840.7,1.25,0.43,5.1,524124000000000.0,1.889,1.389,0.82,0.5,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
