Date,Target,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1
2024-11-25,1,0.008274092,33.48518022,-0.029921184,0.018739031,3.63052428
2024-11-26,0,0.013146678,42.57905698,0.030289726,0.010198852,5.85710065
2024-11-27,0,-0.005531492,42.48861448,-0.050159284,9.27E-05,3.77914597
2024-11-28,1,-0.006887784,39.85369755,-0.022170465,-0.005550375,1.84320284
2024-11-29,0,0.000642951,40.63474611,-0.043968025,-0.034072415,1.81391616
2024-12-02,0,-0.019659629,38.19394873,0.042938567,0.061774914,-2.24781021
2024-12-03,1,-0.000582411,44.85812322,-0.032346575,-0.081606223,-1.6288396
2024-12-04,0,0.018415852,66.38896279,-0.043078557,0.081901462,2.62795139
2024-12-05,0,-0.014544724,57.84767714,0.056349151,0.026985562,-0.5858956
2024-12-06,0,-0.009030057,54.06010892,-0.012084582,0.00676779,-1.98435394
2024-12-09,0,-0.005622256,42.40239107,-0.003356519,0.001352631,-2.38254924
2024-12-10,1,-0.028226348,33.32438939,0.104521602,0.087237107,-6.96626341
2024-12-11,1,0.023967231,41.53867752,0.073193612,0.054254548,-0.51937086
2024-12-12,1,0.010151587,45.28055974,0.016360769,-0.080873244,1.937753
2024-12-13,1,0.016086878,47.73922005,0.024749169,0.03358258,5.03257706
2024-12-16,0,0.004959176,45.04101698,-0.017347131,0.001027588,5.2245398
2024-12-17,0,-0.002203299,46.01253174,0.016721161,-0.060525687,3.89307612
2024-12-18,1,-0.013005174,44.33862573,0.009710591,0.026156187,0.67802588
2024-12-19,0,0.011179445,47.67077857,0.027690021,0.01622066,2.92014288
2024-12-20,0,-0.019714644,47.69932372,0.004957335,0.051484287,-1.42873132
2024-12-23,1,-0.013132216,44.58315247,0.017586897,0.005517788,-3.48590025
2024-12-24,0,0.015625105,43.64176447,-0.005245155,0.010409979,0.4974216
2024-12-26,0,-0.000610335,47.21932772,-0.05982313,-0.001682077,0.47355005
2024-12-27,0,-0.004455726,48.51786582,-0.026815076,-0.002571874,-0.29722453
2024-12-30,0,-0.01030114,47.22940541,-0.034928732,0.008559048,-2.01850273
2025-01-02,0,-0.002198062,55.40701095,-0.051846114,-0.042978385,-1.77896156
2025-01-03,1,-0.000229262,46.88219142,-0.065840013,7.27E-05,-1.1936934
2025-01-06,1,0.017757634,49.90820322,0.046044609,-0.00350169,2.75093435
2025-01-07,1,0.01895175,50.99229573,0.003289174,0.023088814,6.10845177
2025-01-08,1,0.001389434,49.63085623,0.00590786,-0.012796624,5.218451908
2025-01-09,1,0.011549733,54.67503191,0.024697338,0.007023639,6.495059092
2025-01-10,0,0.000337046,60.43808903,-0.025710886,-0.145905783,5.179628906
2025-01-13,0,-0.002429641,55.39978874,-0.011786378,-0.083522854,3.534004516
2025-01-14,1,-0.010476895,60.00524701,-0.056254217,0.014074913,0.600997508
2025-01-15,0,0.00314414,69.10313991,-0.049272482,-0.050386214,1.013230807
2025-01-16,1,-0.000236211,63.2495564,-0.024711725,-0.005200633,0.652205119
2025-01-17,0,0.012212771,68.42666093,0.035651901,0.029631877,2.856372714
2025-01-20,0,-0.001560052,70.49074452,-0.012737274,-0.043237701,1.78903412
2025-01-21,0,-0.001387898,77.75431873,-0.045216225,-0.023566388,0.96750737
2025-01-22,1,-0.000801901,78.99431746,0.002607931,-0.120882948,0.43089644
2025-01-23,0,0.011462914,81.79916055,0.022675715,-0.050778533,2.48249125
2025-01-24,1,-0.012472164,66.60802605,-0.053542058,0.011812898,-0.77262022
2025-01-31,0,0.008435852,62.28076729,-0.04621887,0.013438906,0.90424126
2025-02-03,0,-0.007688711,55.95852417,0.018449264,0.016755737,-1.04219687
2025-02-04,1,-0.025515801,36.39051086,0.077094518,0.160200459,-6.06449961
