class_weight,C,penalty,threshold,validation_rows,accuracy,balanced_accuracy,precision,recall,f1,buy_and_hold_cumulative_return,model_strategy_cumulative_return,trade_rate
none,1.0,l1,0.6,118,0.3389830508474576,0.47564102564102567,0.5,0.05128205128205128,0.09302325581395349,0.46995362547926267,0.07654703350375835,0.4406779661016949
balanced,1.0,l2,0.6,118,0.3389830508474576,0.47564102564102567,0.5,0.05128205128205128,0.09302325581395349,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l1,0.6,118,0.3389830508474576,0.47564102564102567,0.5,0.05128205128205128,0.09302325581395349,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l2,0.6,118,0.3389830508474576,0.47564102564102567,0.5,0.05128205128205128,0.09302325581395349,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,1.0,l2,0.57,118,0.3644067796610169,0.4705128205128205,0.5789473684210527,0.14102564102564102,0.2268041237113402,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l1,0.57,118,0.3644067796610169,0.4705128205128205,0.5789473684210527,0.14102564102564102,0.2268041237113402,0.46995362547926267,0.09600568658244946,0.3220338983050847
balanced,10.0,l2,0.57,118,0.3644067796610169,0.4705128205128205,0.5789473684210527,0.14102564102564102,0.2268041237113402,0.46995362547926267,0.09600568658244946,0.3220338983050847
none,0.1,l1,0.52,118,0.3474576271186441,0.46987179487179487,0.5384615384615384,0.08974358974358974,0.15384615384615385,0.46995362547926267,0.021164547221659724,0.11016949152542373
balanced,0.1,l2,0.55,118,0.3644067796610169,0.46442307692307694,0.5714285714285714,0.15384615384615385,0.24242424242424243,0.46995362547926267,0.09830945331508434,0.3305084745762712
balanced,1.0,l1,0.55,118,0.3644067796610169,0.46442307692307694,0.5714285714285714,0.15384615384615385,0.24242424242424243,0.46995362547926267,0.10435524170221644,0.3220338983050847
balanced,1.0,l2,0.55,118,0.3644067796610169,0.46442307692307694,0.5714285714285714,0.15384615384615385,0.24242424242424243,0.46995362547926267,0.09600568658244946,0.3220338983050847
none,10.0,l2,0.57,118,0.3644067796610169,0.4583333333333333,0.5652173913043478,0.16666666666666666,0.25742574257425743,0.46995362547926267,0.07319768342589317,0.4322033898305085
balanced,0.1,l2,0.57,118,0.3389830508474576,0.45737179487179486,0.5,0.08974358974358974,0.15217391304347827,0.46995362547926267,0.09830945331508434,0.3305084745762712
none,1.0,l2,0.6,118,0.3305084745762712,0.45705128205128204,0.45454545454545453,0.0641025641025641,0.11235955056179775,0.46995362547926267,0.07319768342589317,0.4322033898305085
