Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
0,560205356,10388100000000.0,-0.185781069,-116793000000.0,1238972509.0,-61968718074.0,-92859140207.0
1,708773471,9684980000000.0,0.265202954,-135503000000.0,402128000000.0,-19973581817.0,-108999000000.0
0,570931752,9663220000000.0,-0.19447923,-20829351340.0,-74099919833.0,-43718722130.0,-91145253523.0
0,572859058,13468400000000.0,0.00337572,86251525234.0,1630896679.0,-62549569930.0,-140987000000.0
1,665733196,12473000000000.0,0.162123888,432432000000.0,428036000000.0,41068917722.0,104467000000.0
1,639395683,11402100000000.0,-0.039561664,399675000000.0,412012000000.0,-27218753923.0,46850207009.0
0,579646335,11101200000000.0,-0.093446593,647757000000.0,80778392240.0,-30896179005.0,-64277193849.0
0,541489534,10661700000000.0,-0.065827728,103201000000.0,-626700000000.0,-53528001362.0,-100067000000.0
0,541652823,10119300000000.0,0.000301555,-47192524618.0,-30463646272.0,-59264681396.0,-55339209177.0
1,657093788,11002200000000.0,0.213127229,232313000000.0,124434000000.0,-13598996846.0,-12703046628.0
1,530959176,12945500000000.0,-0.191958308,796950000000.0,563230000000.0,-22714584305.0,54195787091.0
0,524233416,10830500000000.0,-0.012667189,282388000000.0,-562488000000.0,-101365000000.0,-26648431909.0
0,556640473,10963500000000.0,0.061817992,318590000000.0,-512962000000.0,-70825235266.0,24494452562.0
0,595969686,9401090000000.0,0.070654605,-92544623479.0,-57673826347.0,-14857127615.0,-1266130125.0
0,595597647,11901300000000.0,-0.000624258,-180768000000.0,-275960000000.0,-18806626288.0,-56177072744.0
0,844400434,13092800000000.0,0.41773635,45504189683.0,681486000000.0,70910742127.0,-35998078677.0
0,983556318,19852300000000.0,0.164798452,-134042000000.0,-431416000000.0,-27977279770.0,-102395000000.0
1,563927192,12534500000000.0,-0.426644736,943893000000.0,-136518000000.0,80333184394.0,123338000000.0
1,534461669,11918400000000.0,-0.05225058,888751000000.0,-11516510161.0,29019396019.0,36534783266.0
1,486749001,10344400000000.0,-0.089272385,154716000000.0,-95991409161.0,28709849560.0,153726000000.0
1,479907913,9657400000000.0,-0.014054652,4737894467.0,58739564438.0,26832483356.0,81685032625.0
1,541370062,10215600000000.0,0.128070714,212106000000.0,-113689000000.0,62064163927.0,-70673934326.0
1,488246121,11115200000000.0,-0.098128701,-79830040520.0,894806000000.0,-18054821210.0,-18674514016.0
1,513445799,12614000000000.0,0.051612654,325990000000.0,962379000000.0,-123679000000.0,-239507000000.0
0,451599491,8434890000000.0,-0.120453431,-280734000000.0,-81509342621.0,239345000000.0,103957000000.0
0,375828375,8629450000000.0,-0.167783883,-133918000000.0,386439000000.0,53113320584.0,74417427555.0
0,581569904,9856790000000.0,0.547434794,181477000000.0,-169816000000.0,-19254416379.0,84078753634.0
1,432874423,8253060000000.0,-0.255679463,-22297916721.0,-36134647268.0,-35304399498.0,-68137285421.0
1,402825154,8524310000000.0,-0.069417982,187223000000.0,96491398788.0,-40268165914.0,-26647170115.0
1,451824159,11650000000000.0,0.121638395,531812000000.0,141118000000.0,-24040035768.0,-5354039544.0
