Target,TaiwanWeighted,USD_KRW,Dollar_Index,VIX
0,16020.32031,1275.579956,102.7200012,29.35000038
1,16144.84961,1263.550049,103.1500015,29.43000031
1,16156.41016,1273.209961,102.0800018,28.47999954
0,15963.62988,1258.819946,101.8600006,29.45000076
1,16104.03027,1260.98999,102.0599976,28.37000084
0,15968.83008,1266.599976,101.8300018,27.5
1,16266.21973,1258.890015,101.6699982,25.71999931
1,16610.61914,1251.589966,101.6699982,25.71999931
1,16807.76953,1236.170044,101.75,26.19000053
0,16552.57031,1246.949951,101.7699966,24.71999931
1,16552.57031,1240.839966,102.1399994,24.79000092
0,16512.88086,1254.47998,102.3199997,24.02000046
0,16670.50977,1254.579956,102.5400009,23.95999908
0,16621.33984,1256.73999,103.2200012,26.09000015
0,16460.11914,1264.02002,104.1500015,27.75
0,16070.98047,1278.280029,105.0800018,34.02000046
0,16047.37012,1291.800049,105.5199966,32.68999863
0,15999.25,1289.47998,105.1600037,29.62000084
1,15838.61035,1278.160034,103.6299973,32.95000076
0,15641.25977,1288.180054,104.6999969,31.12999916
0,15367.58008,1290.5,104.6999969,31.12999916
1,15728.63965,1292.380005,104.4400024,30.19000053
0,15347.75,1291.599976,104.1999969,28.95000076
0,15176.44043,1297.680054,104.4300003,29.04999924
1,15303.32031,1299.810059,104.1900024,27.22999954
1,15548.00977,1288.290039,103.9400024,26.95000076
1,15439.91992,1286.199951,104.5100021,28.36000061
0,15240.12988,1292.030029,105.1100006,28.15999985
0,14825.73047,1301.72998,104.6900024,28.70999908
0,14343.08008,1287.709961,105.1399994,26.70000076
0,14217.05957,1297.890015,105.1399994,26.70000076
1,14349.2002,1295.680054,106.5,27.54000092
0,13985.50977,1308.660034,107.0999985,26.72999954
1,14336.26953,1304.849976,107.1299973,26.07999992
1,14464.53027,1297.650024,107.0100021,24.63999939
0,14340.53027,1293.790039,108.0199966,26.17000008
0,13950.62012,1310.859985,108.0699997,27.29000092
1,14324.67969,1305.829956,107.9599991,26.81999969
0,14438.51953,1304.849976,108.5400009,26.39999962
1,14550.62012,1316.180054,108.0599976,24.22999954
1,14719.63965,1318.119995,107.3700027,25.29999924
0,14694.08008,1318.910034,106.6800003,24.5
1,14733.21973,1305.5,107.0800018,23.87999916
1,14937.7002,1312.869995,106.9100037,23.11000061
0,14949.36035,1306.849976,106.7300034,23.03000069
1,14936.33008,1309.319946,106.4800034,23.36000061
1,14806.78027,1310.400024,107.1900024,24.69000053
1,14921.58984,1310.900024,106.4499969,23.23999977
1,14891.90039,1305.949951,106.3499985,22.32999992
1,15000.07031,1295.150024,105.9000015,21.32999992
1,14981.69043,1302.280029,105.4499969,22.84000015
0,14747.23047,1306.75,106.2399979,23.93000031
1,14777.01953,1314.630005,106.5100021,21.95000076
1,14702.2002,1307.380005,105.6900024,21.44000053
1,15036.04004,1302.079956,106.6200027,21.14999962
1,15020.41016,1302.73999,106.4400024,21.29000092
1,15050.28027,1299.030029,106.3700027,21.77000046
0,14939.01953,1307.560059,105.1999969,19.73999977
1,15197.84961,1296.699951,105.0899963,20.20000076
1,15288.96973,1306.829956,105.6299973,19.53000069
1,15420.57031,1313.180054,106.5,19.69000053
0,15465.4502,1311.0,106.5699997,19.89999962
0,15396.75977,1314.829956,107.4800034,19.55999947
