Target,US_GDP,US_M2,US_UNRATE,KR_Interest_Rate_3Y,KR_Spread_10Y_3Y
0,26336.304,21536.5,3.5,4.104,-0.10700011
0,26336.304,21536.5,3.5,4.199,-0.08699989
0,26336.304,21536.5,3.5,4.548,-0.21299982
1,26336.304,21536.5,3.5,4.304,-0.09599972
0,26336.304,21536.5,3.5,4.338,-0.006000042
1,26336.304,21536.5,3.5,4.303,-0.07399988
0,26336.304,21536.5,3.5,4.186,-0.089999676
1,26770.514,21461.5,3.6,4.081,-0.07499981
1,26770.514,21461.5,3.6,4.157,-0.05499983
1,26770.514,21461.5,3.6,4.145,-0.042999744
0,26770.514,21461.5,3.6,4.276,-0.061999798
0,26770.514,21461.5,3.6,4.342,-0.035999775
1,26770.514,21461.5,3.6,4.107,0.003000259
0,26770.514,21461.5,3.6,4.203,0.035999775
1,26770.514,21461.5,3.6,4.207,-0.025999546
1,26770.514,21461.5,3.6,4.239,-0.023999691
1,26770.514,21461.5,3.6,4.242,0.034999847
0,26770.514,21461.5,3.6,4.331,0.06500006
0,26770.514,21461.5,3.6,4.35,0.089000225
0,26770.514,21461.5,3.6,4.495,0.13700008
1,26770.514,21461.5,3.6,4.305,0.19799995
0,26770.514,21461.5,3.6,4.221,0.125
1,26770.514,21461.5,3.6,4.208,0.07099962
1,26770.514,21461.5,3.6,4.254,0.059000015
0,26770.514,21461.5,3.6,4.112,0.05499983
1,26770.514,21461.5,3.6,4.185,0.05700016
1,26770.514,21406.5,3.6,4.068,0.06700039
1,26770.514,21406.5,3.6,4.095,0.048000336
0,26770.514,21406.5,3.6,4.158,0.039000034
1,26770.514,21406.5,3.6,4.118,0.06400013
1,26770.514,21406.5,3.6,4.186,0.07200003
1,26770.514,21406.5,3.6,4.156,0.07999992
1,26770.514,21406.5,3.6,4.086,0.09100008
0,26770.514,21406.5,3.6,4.033,0.03700018
1,26770.514,21406.5,3.6,3.834,0.059999943
0,26770.514,21406.5,3.6,3.85,0.07800007
1,26770.514,21406.5,3.6,3.753,0.10800004
0,26770.514,21406.5,3.6,3.808,0.08799982
0,26770.514,21406.5,3.6,3.804,0.049000025
1,26770.514,21406.5,3.6,3.787,0.014000177
0,26770.514,21406.5,3.6,3.837,-0.072999954
0,26770.514,21406.5,3.6,3.844,-0.0710001
1,26770.514,21406.5,3.6,3.849,-0.07500005
1,26770.514,21406.5,3.6,3.689,-0.06699991
0,26770.514,21406.5,3.6,3.644,-0.021000147
0,26770.514,21406.5,3.6,3.669,-0.062999964
1,26770.514,21406.5,3.6,3.723,-0.049999952
1,26770.514,21406.5,3.6,3.689,-0.021999836
1,26770.514,21291.0,3.5,3.65,0.013000011
0,26770.514,21291.0,3.5,3.616,-0.032999992
0,26770.514,21291.0,3.5,3.609,-0.059999943
0,26770.514,21291.0,3.5,3.633,-0.12899995
0,26770.514,21291.0,3.5,3.672,-0.14899993
0,26770.514,21291.0,3.5,3.676,-0.14600015
1,26770.514,21291.0,3.5,3.657,-0.16600013
0,26770.514,21291.0,3.5,3.623,-0.17499995
0,26770.514,21291.0,3.5,3.623,-0.1539998
1,26770.514,21291.0,3.5,3.53,-0.12400007
0,26770.514,21291.0,3.5,3.536,-0.1559999
0,26770.514,21291.0,3.5,3.539,-0.17900014
0,26770.514,21291.0,3.5,3.545,-0.1500001
0,26770.514,21291.0,3.5,3.685,-0.08200002
0,26770.514,21291.0,3.5,3.638,-0.07200003
1,26770.514,21291.0,3.5,3.567,-0.07200003
0,26770.514,21291.0,3.5,3.623,-0.07099986
1,26770.514,21291.0,3.5,3.663,-0.024000168
1,26770.514,21291.0,3.5,3.662,-0.05099988
0,26770.514,21291.0,3.5,3.668,0.005000114
0,26770.514,21291.0,3.5,3.719,0.00699997
0,27216.445,21279.4,3.5,3.782,0.029000044
0,27216.445,21279.4,3.5,3.661,0.0
1,27216.445,21279.4,3.5,3.632,-0.035000086
1,27216.445,21279.4,3.5,3.644,-0.072999954
1,27216.445,21279.4,3.5,3.681,-0.10800004
1,27216.445,21279.4,3.5,3.577,-0.099999905
1,27216.445,21279.4,3.5,3.556,-0.0940001
1,27216.445,21279.4,3.5,3.472,-0.05499983
1,27216.445,21279.4,3.5,3.466,-0.05400014
1,27216.445,21279.4,3.5,3.369,-0.069000006
1,27216.445,21279.4,3.5,3.454,-0.0710001
0,27216.445,21279.4,3.5,3.484,-0.03999996
0,27216.445,21279.4,3.5,3.39,-0.05300021
1,27216.445,21279.4,3.5,3.248,-0.026000023
1,27216.445,21279.4,3.5,3.33,-0.05099988
1,27216.445,21279.4,3.5,3.285,-0.055999994
1,27216.445,21279.4,3.5,3.273,-0.042000055
1,27216.445,21279.4,3.5,3.304,-0.020999908
0,27216.445,21279.4,3.5,3.271,-0.032999992
0,27216.445,21279.4,3.5,3.325,-0.028000116
1,27216.445,21242.9,3.6,3.263,-0.02399993
1,27216.445,21242.9,3.6,3.183,0.02399993
1,27216.445,21242.9,3.6,3.11,0.038000107
0,27216.445,21242.9,3.6,3.283,0.0
1,27216.445,21242.9,3.6,3.315,-0.018000126
1,27216.445,21242.9,3.6,3.339,-0.019000053
0,27216.445,21242.9,3.6,3.401,-0.039000034
0,27216.445,21242.9,3.6,3.398,-0.032999992
0,27216.445,21242.9,3.6,3.452,-0.021999836
1,27216.445,21242.9,3.6,3.429,-0.030999899
0,27216.445,21242.9,3.6,3.502,-0.031000137
1,27216.445,21242.9,3.6,3.504,-0.027999878
0,27216.445,21242.9,3.6,3.639,-0.013000011
1,27216.445,21242.9,3.6,3.677,-0.036000013
1,27216.445,21242.9,3.6,3.623,-0.023000002
0,27216.445,21242.9,3.6,3.645,-0.006000042
1,27216.445,21242.9,3.6,3.599,-0.003999949
0,27216.445,21242.9,3.6,3.555,-0.029999971
0,27216.445,21242.9,3.6,3.683,-0.06400013
1,27216.445,21242.9,3.6,3.797,-0.04399991
1,27216.445,20946.8,3.5,3.878,-0.038000107
1,27216.445,20946.8,3.5,3.791,-0.014999867
1,27216.445,20946.8,3.5,3.774,-0.042999983
1,27216.445,20946.8,3.5,3.726,-0.06500006
0,27216.445,20946.8,3.5,3.855,-0.13499999
0,27216.445,20946.8,3.5,3.858,-0.11899996
0,27216.445,20946.8,3.5,3.703,-0.11899996
1,27216.445,20946.8,3.5,3.435,-0.029999971
0,27216.445,20946.8,3.5,3.381,-0.04400015
1,27216.445,20946.8,3.5,3.473,-0.055000067
0,27216.445,20946.8,3.5,3.4,-0.006000042
